name,Category,address,years,Music,description
Club ZMF,Mitte,"Brunnenstraße 10, 10119 Berlin",2002–2013,"house, electro, techno, indie/britpop",Low‑ceilinged basement ‘Zur Möbelfabrik’ near Rosenthaler Platz; raw post‑reunification vibe.
Eimer Club - „Kulturhaus I.M. Eimer“,Mitte,"Rosenthaler Straße 68, 10119 Berlin",1990–2003,"punk/alternative, experimental, performance art, early techno","Legendary squat venue at Rosenthaler Straße that became a crucible for Berlin’s post‑wall art, noise and club culture."
Maria am Ostbahnhof,Friedrichshain,"Stralauer Platz 29 (later Schillingbrücke 1), 10243 Berlin",late 1990s–2010 (closed),"techno, house, drum & bass, breakbeat",Riverside club by Ostbahnhof known for big international bookings and DnB/techno nights; successor to Maria am Ufer.
Boudoir,Mitte,"Brunnenstraße 192, 10119 Berlin",1992–1995,art/performance salon; eclectic music,Lena Braun’s legendary walk‑in art installation and salon space in a former soap factory.
90 Grad,Tiergarten/Schöneberg (City West),"Dennewitzstraße 37, 10785 Berlin",1989–2008,"house, disco, pop",Stylish West‑Berlin/City‑West nightspot and Love‑Parade after‑party fixture at Gleisdreieck.
Bunker,Mitte,"Reinhardtstraße 20 (corner Albrechtstraße), 10117 Berlin",1992–1997,"hardcore/gabber, techno; fetish/afterhours",Infamous multi‑floor techno bunker (Reinhardtstraße/Albrechtstraße); later converted to the Boros art collection.
E-Werk,Mitte,"Wilhelmstraße 43, 10117 Berlin",1993–1997,"techno, trance, house",Influential 90s techno club in a listed 1920s substation near Checkpoint Charlie; Friday ‘Dubmission’ nights with Paul van Dyk.
Griessmühle,Neukölln,"Sonnenallee 221, 12059 Berlin",2012–2020,"techno, house",Cult DIY club in a former pasta factory next to the canal; evicted in 2020 amid redevelopment.
Kater Holzig,Mitte,"Michaelkirchstraße 23, 10179 Berlin",2011–2013,"house, techno, disco",Follow‑up to Bar25 on the Spree; wild riverside complex that bridged to the later Holzmarkt/Kater Blau era.
SchwuZ,Neukölln,"Rollbergstraße 26, 12053 Berlin",1977–present (at Rollbergstraße since 2013),"pop, indie, electro, queer classics",Germany’s oldest queer club and major cultural institution; multi‑floor LGBTQIA+ parties and shows.
K17 / Nuke Club,Friedrichshain,"K17: Pettenkoferstraße 17a; NUKE: Pettenkoferstraße 17a/16, 10247 Berlin",K17: 2001–2012; Nuke Club: 2016–present,"goth, EBM, metal, industrial",Long‑running dark‑scene venue: K17’s townhouse labyrinth evolved into today’s NUKE Club nearby.
Knaack,Prenzlauer Berg,"Greifswalder Straße 224, 10405 Berlin",1952–2010,"rock, indie, punk; later concerts across genres",Historic youth/rock club of the GDR and 1990s; closed after noise disputes but slated for a new cultural house.
Planet,Mitte,"Köpenicker Straße area (two locations), 10179 Berlin",1991–1993,"house, techno, breakbeat",Short‑lived but pivotal early‑90s club (two locations) whose crew later helped found E‑Werk.
UFO,Kreuzberg,"Köpenicker Straße 6, 10997 Berlin",1988–1990,"acid house, early techno",First acid house club in Berlin; tiny basement on Köpenicker Str. before moving to Großgörschenstraße (Ufo 2).
WMF,Mitte,"Multiple (e.g., Leipziger Str. 112; Burgstr. 28; Johannisstr. 20; Ziegelstr. 22; Karl‑Marx‑Allee 34; Littenstr. 109; Klosterstr. 44)",1991–2010 (across several locations),"house, techno, hip‑hop (early), drum’n’bass",Nomadic club brand that moved through eight locations; central to 90s/00s Berlin club culture.
Bar 25,Friedrichshain,"Holzmarktstraße (riverside, near Ostbahnhof), 10243 Berlin",2003–2010,"minimal/house, techno",Open‑air club on the Spree famed for marathon after‑hours and a bohemian village vibe.
Dschungel,Schöneberg (West‑Berlin),"Nürnberger Straße 53 (50–55 complex), 10789 Berlin",1978–1993,"disco, new wave, pop",West‑Berlin’s Studio‑54‑style icon; celebrity magnet that defined the late‑70s/80s scene.
Exit,Mitte,"Fischerinsel 12 (Ahornblatt), 10179 Berlin",1993 – 1995,"Techno, happy hardcore, breakbeat; after‑hours","Club inside the former GDR 'Ahornblatt' (Fischerinsel); run by DJ Tanith & crew; closed mid‑’90s, building later demolished (2000)."
Cheetah,Neukölln (West‑Berlin),"Hasenheide 13, 10967 Berlin",1968–1981,"disco, funk, soul (West‑Berlin era)",Late‑60s/70s disco on Hasenheide; a classic of West‑Berlin nightlife.
Abraxas,Charlottenburg (West‑Berlin),"Kantstraße 134, 10625 Berlin",1983–2009,"funk, soul, R’n’B, Latin, jazz",Beloved Kantstraße institution for funk/soul with devoted regulars; lives on as travelling ‘Abraxasparty’.
Chez Romy Haag,Schöneberg,"Fuggerstraße 33 (Ecke Welserstraße), 10777 Berlin",1974 – 1983,"Cabaret, disco, pop",The iconic club of performer Romy Haag; a 1970s/early‑80s hotspot in West‑Berlin nightlife and LGBTQ culture.
Cookies,Mitte,"Auguststraße 26b, 10117 Berlin",1994 – 1996,"House, disco, electro; eclectic after‑hours",Cookies #1 — the original after‑hours phenomenon in Mitte; started at Auguststraße 26b.
Tresor,Mitte,"Leipziger Straße 126a (1991–2005) / Köpenicker Straße 70 (seit 2007), Berlin",1991–2005 / 2007–,"Techno, Detroit Techno, Industrial; global prägend","Ikonischer Technoclub: zuerst im Tresor‑Gewölbe des ehemaligen Wertheim‑Kaufhauses (Leipziger Straße), seit 2007 im Heizkraftwerk an der Köpenicker Straße."
Walfisch,Mitte,"Köpenicker Straße 76, 10179 Berlin",1991–1993,"techno, after‑hour",Seminal after‑hours in the above‑ground rooms of U‑Bhf. Heinrich‑Heine‑Straße; later home to Sage/KitKat.
Antje Øklesund,Friedrichshain,"Rigaer Straße 71–73, 10247 Berlin",c. 2007 – 2016,"Concerts, experimental music, free art scene","Artist-run project space/venue in the 'Sama-Riga' industrial block; hosted experimental concerts, performances and leftfield club nights; the site at Rigaer Straße 71–73 was cleared/demolished by 2016 for new development."
Café Swing,Schöneberg,"Nollendorfplatz 3–4, 10777 Berlin",1982 – 2002,"Avant‑garde, new wave, rock, indie; later songwriter nights","Cult West‑Berlin bar/club at Nollendorfplatz known for subcultural gigs, arty nights and mixed queer-friendly crowds through the 80s/90s."
Galerie berlintokyo,Mitte,"Rosenthaler Straße, 10119 Berlin",1996 – 1999,"Kunst/Club-Hybrid; Experimental, Indie/Electro","Galerie‑ und Party‑Ort der 90er; Ausstellungen, Konzerte & DJ‑Nights, prägend für die Off‑Szene rund um Rosenthaler Straße."
Linientreu,Charlottenburg,"Budapester Straße 42, 10787 Berlin",ca. 1985 – 2008,Techno; 80er/Wave; Themen‑Partys (z. B. Depeche Mode),Tanz‑Arena im Bikini‑Haus nahe Zoo; prägte 80er/90er‑Nachtleben mit Techno‑ und 80er‑Partys.
Kreisjugendklub Pablo Neruda,Treptow,"Insel der Jugend, Alt‑Treptow 6, 12435 Berlin",späte 1980er – frühe 1990er,Indie/Alternative; Jugend‑Disco & Konzerte,DDR‑Jugendklub auf der Insel der Jugend; frühe Nachwende‑Indie‑/Alternativ‑Partys und Konzerte.
Ostgut / Panoramabar,Friedrichshain,"Am Wriezener Bahnhof (Ostbahnhofhalle), 10243 Berlin",1998–2003,"Techno (Ostgut), House (Panoramabar); queer/fetisch‑geprägt",Vorläufer des Berghain in der Güterhalle am Ostbahnhof: Ostgut (Techno) und die kleinere Panoramabar (House). 2003 Schließung der Halle.
King-Kong-Klub,Mitte,"Brunnenstraße 173, 10119 Berlin",2003 – 2014,Indie/Garage; Electro‑Punk; Singer‑Songwriter; Burlesque,"Intimer DIY‑Club in der Brunnenstraße; Bühne für Underground‑Konzerte, Burlesque, Lesungen & wilde Partys."
Ex'n'Pop,Schöneberg,"Mansteinstraße 14, 10783 Berlin",1984 – 2016,"Indie, alternative rock, pop; live shows & DJ nights",Beloved West‑Berlin alternative club; from 1986 at Mansteinstraße 14; mixed gigs and indie/alternative DJ culture; closed 2016.
Krik,Tiergarten,Tiergarten (genaue Adresse unbekannt),ca. 1989 – 1991,Underground/Experimental; frühe Techno/Indie‑Nights,Kurzlebige Off‑Location der Wendezeit (genaue Details schwer belegbar).
Risiko,Schöneberg,"Yorckstraße 48, 10965 Berlin",1981–1986,"Punk, No Wave, Post‑Punk; Underground‑Bar der 1980er",Legendäre West‑Berliner Punk/Underground‑Bar an der Yorckstraße; Treff von Nick Cave‑/Neubauten‑Umfeld und Künstler*innen der 80er.
Rummels Bucht,Lichtenberg,"Hauptstraße 1, 10317 Berlin (Rummelsburger Bucht)",2013–2021,"House, Techno; Open‑Air & Kulturstrand","Open‑Air‑Ort an der Rummelsburger Bucht mit Clubnächten, Konzerten und Kulturprogramm; 2021 geräumt/geschlossen."
Loft,Charlottenburg,"Nürnberger Straße 53, 10789 Berlin",ca. 1983 – 1987,New Wave; Post‑Punk; Alternative,West‑Berliner Kultclub im Neuen Schauspielhaus‑Komplex unweit Wittenbergplatz.
Quarter Latin,Tiergarten/Schöneberg,"Potsdamer Straße 96, 10785 Berlin",1970–1989,"Rock, New Wave, Jazz‑Rock; große Live‑Konzerte",Berühmtes Konzert‑ und Szenehaus der 70er/80er an der Potsdamer Straße; wichtiger Ort für Rock/New‑Wave‑Konzerte bis zur Schließung 1989.
Loveparade,Tiergarten,"Straße des 17. Juni / Siegessäule, 10557 Berlin (Route variierte)",1989 – 2003 (Berlin); 2006 (Berlin),Elektronische Tanzmusik; Parade/Technodemo,"Technoparade von Ku’damm (1989–1995) zur Straße des 17. Juni (ab 1996) rund um die Siegessäule; Millionenpublikum, prägend für die Berliner Technokultur."
Cookies #2,Mitte,"Auguststraße 36, 10117 Berlin",1996,"House, disco, electro; eclectic after‑hours",Cookies #2 — brief second home on Auguststraße 36.
Cookies #3,Mitte,"Johannisstraße 2, 10117 Berlin",1997 – 1998,"House, disco, electro; eclectic after‑hours",Cookies #3 — moved to Johannisstraße 2 near Friedrichstraße.
Cookies #4,Mitte,"Auguststraße 5a (Postfuhramt), 10117 Berlin",1998 – 1999,"House, disco, electro; eclectic after‑hours",Cookies #4 — at the old Postfuhramt / Auguststraße 5a.
Cookies #5,Prenzlauer Berg,"Saarbrücker Straße 36, 10405 Berlin",1999 – 2000,"House, disco, electro; eclectic after‑hours",Cookies #5 — Backfabrik era on Saarbrücker Straße 36.
Cookies #6,Mitte,"Charlottenstraße 44, 10117 Berlin",2000 – 2005,"House, disco, electro; eclectic after‑hours",Cookies #6 — long‑running Charlottenstraße 44 era.
Cookies #7,Mitte,"Friedrichstraße 158–164, 10117 Berlin",2007 – 2014,"House, disco, electro; eclectic after‑hours",Cookies #7 — final incarnation on Friedrichstraße 158; closed July 2014.
Loveparade #2,Charlottenburg,"Kurfürstendamm / Wittenbergplatz, 10789 Berlin",1989 – 1995 (Ku’damm/Wittenbergplatz),Elektronische Tanzmusik; Parade/Technodemo,"Frühe Loveparade‑Route am Kurfürstendamm/Wittenbergplatz, bevor der Umzug in den Tiergarten erfolgte."
WMF #2,Mitte,"Burgstraße 28, 10178 Berlin",ca. 1993–1996,"Electronica, Techno, Experimental",Frühe WMF‑Station nahe Hackescher Markt (Burgstraße 28); Kunst/Club‑Hybrid.
WMF #3,Mitte,"Leipziger Straße 112, 10117 Berlin",ca. frühe 1990er,"Electronica, Techno, Experimental",WMF‑Location in der Leipziger Straße (ehem. Wertheim‑Komplexnähe).
WMF #4,Mitte,"Johannisstraße 20, 10117 Berlin",1997–1999 (ca.),"Electronica, Techno, House",WMF‑Ära an der Johannisstraße; zweite Geburtstagsfeier im Dez. 1999 dokumentiert.
WMF #5,Mitte,"Ziegelstraße 22, 10117 Berlin",ca. 1999–2001,"Electronica, Techno, House",Kurzzeitige WMF‑Phase in der Ziegelstraße.
WMF #6,Mitte,"Karl‑Marx‑Allee 34 (Café Moskau), 10178 Berlin",ca. 2000–2002,"Electronica, Techno, House",WMF‑Location im Café Moskau an der Karl‑Marx‑Allee.
WMF #7,Mitte,"Klosterstraße 44, 10179 Berlin",2009–2010,"Electronica, Techno, House",Späte WMF‑Reinkarnation in der Klosterstraße; 2010 geschlossen.
WMF #8,Mitte,"Littenstraße 109, 10179 Berlin",ca. 2002–2004,"Electronica, Techno, House",WMF‑Phase in der Littenstraße (Mitte) in den frühen 2000ern.
SchwuZ #2,Kreuzberg,"Mehringdamm 61, 10961 Berlin",2007–2013,"Queer Pop, House/Disco, 80s/90s, Shows",SchwuZ‑Phase im Kreuzberger Gewölbekeller am Mehringdamm; große queere Partys und Liveshows bis zum Umzug 2013.
SchwuZ #3,Neukölln,"Rollbergstraße 26, 12053 Berlin (Kindl‑Brauerei)",2013–,"Queer Pop, Techno/House, Live & Drag‑Shows","Heutiger Standort des SchwuZ in der ehemaligen Kindl‑Brauerei; mehrere Floors, große Queer‑Events; seit 2013."
K17 #2 / Nuke Club,Friedrichshain,"Pettenkoferstraße 17a, 10247 Berlin",K17: 2005 – 2014; Nuke Club: 2016 – 2021,Gothic/Metal; EBM/Industrial; 80s/Wave; Rock,Nachfolger des K17 in denselben Räumen; große Rock/Alternative‑Location mit mehreren Floors & Biergarten.
UFO #2,Schöneberg,"Großgörschenstraße (near Yorckstraße), 10827 Berlin",1989–1990,"acid house, early techno",Second incarnation in a former store building near Yorckstraße.
Ur-Dschungel,Schöneberg,"Winterfeldtplatz (Schöneberg), später Umzug an die Nürnberger Straße",1970er (Winterfeldtplatz) → Ende 1970er Umzug,"Disco, New Wave, Pop, Post‑Punk",Frühe Dschungel‑Phase am Winterfeldtplatz in Schöneberg; aufgrund des Andrangs Ende der 1970er Umzug in größere Räume an der Nürnberger Straße.
Punkhouse,Charlottenburg,"Kurfürstendamm (am Lehniner Platz), 10709 Berlin",1977–1978,"Punk (zuvor Funk, nach Umbenennung 1977)",Kleiner Club am Lehniner Platz: aus dem kurzlebigen ‚Funkhouse‘ wurde 1977 das Punkhouse – erster Treffpunkt der West‑Berliner Punkszene; nach einem Jahr geschlossen.
Farbfernseher,Kreuzberg,"Skalitzer Straße 114, 10997 Berlin",2009 – 2018,"House, disco, techno; intimate 'living‑room' club",Small neighborhood club on Skalitzer Straße; became a staple for house/leftfield disco; later succeeded by Bulbul at the same address.
Magdalena,Mitte,"Michaelkirchstraße 20, 10179 Berlin; später Alt‑Stralau 1, 10245 Berlin",2012 – 2017,Techno/House; Großraum‑Soundsystem,"Nachfolgerin der Maria am Ostbahnhof; zuerst Michaelkirchstraße 20 (ehem. Kraftwerk), später Alt‑Stralau 1."
Stattbad Wedding,Wedding,"Gerichtstraße 65, 13347 Berlin",2009–2015,"Techno, House, Bass; Kunst/Club im ehemaligen Stadtbad","Kunst‑ und Clubhaus im stillgelegten Stadtbad; internationale Clubnächte, Installationen und Festivals bis zur Schließung 2015."
Rosi´s,Friedrichshain,"Revaler Straße 29, 10245 Berlin",2003–2018,"Indie, Electro, Alternative; Garten‑/Hofdances","Lässiger Friedrichshainer Hof‑Club mit Indie/Electro‑Programm, Konzerten und Sommergarten; 2018 geschlossen."
Subland,Lichtenberg,"Herzbergstraße 123, 10365 Berlin",2010–2014,"Hardcore Techno, Drum’n’Bass; Warehouse‑Events",Berliner Warehouse‑Club für härtere elektronische Stile; 2014 behördlich geschlossen.
Morlox,Friedrichshain,"Haasestraße 13, 10245 Berlin",– 2014,Industrial/Goth; EBM; Darkwave,Dunkler Underground‑Club in Friedrichshain; Szene‑Nights & Konzerte.
Chalet,Kreuzberg,"Vor dem Schlesischen Tor 3, 10997 Berlin",2012 – 2019,"House, techno",Wood‑paneled villa‑style club by the canal near Schlesisches Tor; connected to the Bar25/Kater circle; closed in 2019.
Kosmonaut / Polygon,Lichtenberg,"Wiesenweg 1–4, 10365 Berlin",Kosmonaut: 2013 – 2016; Polygon: seit 2016 – heute,Techno/House; Multi‑Floor‑Club,"Ehemals Kosmonaut, als Polygon weitergeführt; Warehouse‑Club am Wiesenweg."
Magnet ,Kreuzberg,"Falckensteinstraße 48, 10997 Berlin",2001–2015,"Indie, Rock, Alternative; Live-Konzerte & Clubnächte","Indie/Rock-Club. Zunächst in der Greifswalder Straße (Prenzlauer Berg), ab 2010 an der Oberbaumbrücke/Falckensteinstraße in Kreuzberg; 2015 geschlossen."
Magnet #2,Kreuzberg,"Falckensteinstraße 48, 10997 Berlin",2010 – 2015,Indie/Rock; Alternative; Live‑Konzerte & Clubnights,Zweiter Standort nach dem Umzug; später von Musik & Frieden abgelöst.
Stereo33,Friedrichshain,"Krossener Straße 24, 10245 Berlin",ca. 2008–2018,"House, Electro; Bar‑/Clubnächte",Bar/Club am Boxhagener Platz; elektronische Sets und House‑Nächte; in den späten 2010ern geschlossen.
Naherholung Sternchen,Mitte,"Berolinastraße 7, 10178 Berlin (hinter Kino International)",2009–2014,"House, Electro, Jazz, Tech‑House; außerdem Konzerte, Lesungen, Film- & Theaterabende","Kultur- und Clubraum in Rathaus‑Mitte mit zwei Floors; Mix aus Clubnächten, Konzerten, Lesungen und Filmabenden. Bestand bis Ende April 2014."
Wysiwyg / R19,Friedrichshain,"Revaler Straße 19, 10245 Berlin",2011–2016,"House, Techno; Underground & Visuals",‚What You See Is What You Get‘ (WYSIWYG) / R19 auf dem RAW‑Gelände; Underground‑Club mit House/Techno‑Nächsten; am 1. 8. 2016 geschlossen.
M.I.K.Z. / Spirograph,Friedrichshain,"Revaler Straße 99, 10245 Berlin (RAW)",ca. 2008 – 2014,Techno/House; Queer/Fetish‑Off‑Nights,RAW‑Gelände‑Club (Multi Instanz Kollektiv Zentrum); berüchtigte Wochenend‑Raves und Spirograph‑Nächte.
Franz,Prenzlauer Berg,"Schönhauser Allee 36, 10435 Berlin (Kulturbrauerei)",1990 – 2004; seit 2004 (als FRANNZ) – heute,Indie/Rock & Pop; Swing; Konzerte & Partys,"Hausklub der Kulturbrauerei: Live‑Konzerte, Indie‑/Rock‑Partys, Swing‑Abende; später als FRANNZ fortgeführt."
Schoppenstube,Prenzlauer Berg,"Schönhauser Allee 44, 10435 Berlin",1963–2013,"Schlager, Oldies, Chanson; Kiez‑Kneipe mit Tanz",Traditionskneipe/Bar mit Tanz in Prenzlauer Berg; über 50 Jahre Nachbarschafts‑Treff.
Tanzschule Schmidt,Mitte,"Rosenthaler Straße 38, 10119 Berlin",1996–1998,"Hip‑Hop, Urban; Jugend‑ & Szenepartys","Veranstaltungsraum/‚Tanzschule‘ über der Galerie Berlin‑Tokyo am Hackeschen Markt; Hip‑Hop‑Partys, 1998 nach Auflagen/Schließung beendet."
Tanzschule Schmidt II,Mitte,"Inselstraße 9a, 10179 Berlin",1993–1996,"Hip‑Hop, Urban; Jugend‑ & Szenepartys","Erste Phase/Standort der ‚Tanzschule Schmidt‘ in Mitte (Inselstraße 9a), vor dem Umzug 1996 in die Rosenthaler Straße 38."
Icon,Prenzlauer Berg,"Cantianstraße 15, 10437 Berlin",1996 – 2011,Drum’n’Bass; Indie; Electro,"Legendärer Kellerclub nahe Mauerpark; DnB‑Residencies, Indie/Electro‑Nights und Konzerte."
Trash,Kreuzberg,"Oranienstraße 40–41, 10999 Berlin",1982–2001,"Rock, Punk/Hard & Alternative; zwei Floors",Kreuzberger Szene‑Club in einem Ex‑Kaufhaus an der Oranienstraße; bekannt für harte Gitarren & Subkultur. Anfang 2001 geschlossen.
Ackerkeller,Mitte,"Bergstraße 68, 10115 Berlin",1992 – 2010,"Queer bar with DJ nights: pop, indie, alternative",Legendary gay/queer hangout that started in Ackerstraße and later moved to Bergstraße 68; mixed-pop/indie DJ bar vibe; closed in 2010.
Ackerkeller #2,Mitte,"Bergstraße 68, 10115 Berlin",1992 – 2010,Queere Bar-Nights; Indie/Alternative; DJ-Kultur,"Musikrichtungen & Subkulturen: Konzerte, experimentelle Musik, freie Kunstszene; Kiez‑Wohnzimmer der frühen Mitte‑Szene (zweiter Standort nach Umzug von der Ackerstraße)."
Delicious Doughnuts,Mitte,"Rosenthaler Straße, 10119 Berlin",1993 – 2012,"Jazz roots; later eclectic: funk, breaks, trip‑hop, house",Mitte institution that started as a jazz club; hosted genre‑spanning DJ sets; last party on 17 August 2012.
Hangar49,Mitte,"Holzmarktstraße 15–18, S‑Bahnbogen 49, 10179 Berlin",2009 – heute,Live (Jazz/Balkan/Reggae u. a.) & Club (DnB/Techno),Kleiner Bogen‑Club mit Live‑Bühne & Clubnächten direkt an der Spree unter der S‑Bahn am Jannowitzbrücke‑Viadukt.
Grüner Salon,Mitte,"Rosa‑Luxemburg‑Platz 2, 10178 Berlin",1993 – heute,Konzerte; Chanson; Indie/Elektronika; Clubnächte,"Salon der Volksbühne am Rosa‑Luxemburg‑Platz; Bühne für Konzerte, Lesungen und Clubformate."
103,Mitte,"Monbijoustraße, 10117 Berlin",1997 – 2008,"Techno, house, electro (post‑techno/art-scene leanings)",Mitte-era '103' operated along Monbijoustraße in the late ’90s/2000s after an earlier phase linked to Friedrichstraße 103; known for techno/house/electro nights; closed in 2008.
103 #2,Kreuzberg,"Falckensteinstraße 47, 10997 Berlin",2007 – 2008,"Techno, house, electro",Short‑lived Kreuzberg phase of '103' after moving from Mitte; events at Falckensteinstraße 47 until September 2008.
Elektro,Mitte,"Mauerstraße 15, 10117 Berlin",1992 – 1995,"Minimal techno, experimental; art–club crossover",Legendary micro‑club founded by Daniel Pflumm with Kotai & Mo; nexus of art and minimal techno; located at Mauerstraße 15 and demolished mid‑1990s.
Panasonic,Mitte,"Invalidenstraße (am Nordbahnhof), 10115 Berlin",1995–1997,"Experimentelle Elektronik, Minimal, Kunst‑/Club‑Hybride","Künstler‑Clubprojekt um Daniel Pflumm an der Invalidenstraße; radikale Minimal‑Ästhetik, Video‑Arbeiten und experimentelle Clubnächte; Mitte der 1990er aktiv."
Ecstasy,Schöneberg,"Hauptstraße 30, 10827 Berlin",late 1980s – 1992,"Rock, punk, alternative; concerts",Club in the former 'International' space on Hauptstraße; bookings ranged from underground US punk like Dead Moon to local alternative acts.
Cube Club,Neukölln,"Rollbergstraße 26, 12053 Berlin",2012 – 2013,"House, electro, techno, minimal","Short‑lived club in the vaulted cellars of the former Kindl brewery; opened in March 2012, closed soon after; the site later became Palast Neukölln."
Glowing Pickle,Mitte,Mitte (genaue Adresse unbekannt),1991 – 1993,Avantgarde/Experimental; frühe Elektronik,Kurzlebiger Underground‑Ort der frühen 90er mit Sound‑Art und experimentellen Konzerten.
MS Sansouci,Treptow,"Hafen Treptow, Puschkinallee 15, 12435 Berlin",seit 2000 – heute,"Schiffspartys: 80/90er, Depeche Mode u. a.; Charterfahrten",Event‑/Kreuzfahrtschiff auf Spree & Havel; regelmäßig Partytouren ab Hafen Treptow.
Obst & Gemüse,Neukölln,"Weserstraße 56, 12045 Berlin",ca. 2010–2016,"Indie, Electro‑Pop, Hip‑Hop; Bar‑/Clubnächte","Kiez‑Bar/Club an der Weserstraße; Partys zwischen Indie, Electro‑Pop und Hip‑Hop, frühe bis mittlere 2010er."
Pinguin Club,Schöneberg,"Wartburgstraße 54, 10823 Berlin",1984–2019,Rock’n’Roll & Indie vom Jukebox‑Keller bis zu Live‑Gigs,"Kultige Kiezkneipe mit Club‑Charakter in Schöneberg; Jukebox, Konzerte und Subkultur‑Treffpunkt über Jahrzehnte."
Neue Berliner Initative (NBI),Prenzlauer Berg,"Schönhauser Allee 36, 10435 Berlin (Kulturbrauerei)",1992–2013,"Indie, Singer‑Songwriter, Avantgarde; Lesungen & Off‑Kultur","Die ‚Neue Berliner Initiative‘ (NBI) war ein Szene‑Ort in der Kulturbrauerei für Konzerte, Lesungen und Indie/Avantgarde‑Nächte; später mehrfach umgezogen; 2013 eingestellt."
Neue Berliner Initiative (NBI) #2,Prenzlauer Berg,"Schönhauser Allee 36 (Kulturbrauerei), 10435 Berlin",ca. 1998–2005,"Indie, Electronica/Avantgarde, Singer‑Songwriter; Lesungen & Off‑Kultur","Frühe NBI‑Phase auf dem Gelände der Kulturbrauerei (Schönhauser Allee 36). Wohnzimmer‑Club mit Indie‑/Elektronik‑Konzerten und Lesungen; Ende 1990er gegründet, bis Mitte der 2000er hier aktiv."
Neue Berliner Initiative (NBI) #3,Mitte,"Zionskirchstraße 5, 10119 Berlin",ca. 2008–2013,"Indie, Electronica, Off‑Kultur; Bar‑ & Konzertabende",Spätere NBI‑Bar am Zionskirchplatz; kleiner Veranstaltungsraum/Bar mit Konzerten & Indie‑Nächten; späte 2000er bis frühe 2010er aktiv.
Tape Club,Moabit,"Heidestraße 14, 10557 Berlin",2007–2012,"Electro, Indie, Nu‑Rave; Live‑ & Clubnächte",Club am Hamburger Bahnhof/Heidestraße in ehemaligem Güterschuppen; 2012 geschlossen.
Hirschbar,Mitte,"Jannowitzbrücke, 10179 Berlin (genaue Anschrift unsicher)",1993 – 1999,Indie/Alternative; Mixed DJ‑Nights,Kult‑Bar/Club der 90er an der Jannowitzbrücke; Wohnzimmer der Szene mit Konzerten & DJ‑Abenden.
Suicide Club,Friedrichshain,"Revaler Straße 99 (Eingang Warschauer Straße), 10245 Berlin",1994–,Techno & House; Indoor/Outdoor (RAW‑Gelände),"Seit den 1990ern als ‚Suicide Club/Circus‘ bekannt, seit 2024 als ‚Lokschuppen Berlin‘; fester Bestandteil der RAW‑Szene mit Open‑Air‑Bereich."
Club Villa,Friedrichshain,"Landsberger Allee 54, 10249 Berlin",mid‑2000s – 2011,"House, techno, minimal, tech‑house",Popular late‑2000s Friedrichshain venue in a former villa on Landsberger Allee; permanently closed January 2011.
Rechenzentrum,Oberschöneweide,"Nalepastraße 10–16, 12459 Berlin",2008–2009,"Techno, Minimal; Open‑Air/Indoor am Spreeufer (Funkpark‑Gelände)",Kurzlebiger Club im Funkpark‑Areal an der Spree; elektronische Nächte in Industrie‑Kulisse.
Sound,Tiergarten,"Genthiner Straße 26, 10785 Berlin",1972–1988 (Hauptphase),"Progressive Rock, Experimentelles; frühe Disco‑/Video‑Technik","Legendäre West‑Berliner Diskothek (S.O.U.N.D.) in einer umgebauten Tiefgarage; als „modernste Diskothek Europas“ bekannt. Spätere, unabhängige Neuaufgüsse an anderen Adressen (2001–2007)."
loc. Stellwerk,Neukölln,"Kranoldplatz 5, 12051 Berlin",ca. 2010er,"Mixed: Indie, Electro, Live‑Acts; Kiez‑Location",Kleine Kiez‑Location/‚Stellwerk‘ in Neukölln; Bar‑/Clubabende und Konzerte.
Subground Pfefferberg,Prenzlauer Berg,"Schönhauser Allee 176 (Pfefferberg‑Areal), 10119 Berlin",ca. späte 1990er–frühe 2000er,"Techno, Tech‑House; Keller‑/Subclub",Untergrund‑Kellerclub im Pfefferberg‑Komplex; roher Techno‑/House‑Sound und Afterhours.
Das K.,Mitte,"Burgstraße 31, 10178 Berlin",1996–1997,"Konzerte, experimentelle Musik, freie Kunstszene; Off-Space-Events (concerts, experimental, art/DIY)","Kurzlebiger Off-Space („K.“/Kulturbaracke) in einem Barackenbau an der Burgstraße nahe Hackescher Markt. Programm zwischen Konzerten, experimenteller Musik und freier Kunstszene; aktiv 1996–1997."
Die Gurke,Mitte,"Friedrichstraße 112b, 10117 Berlin",1990 – 1991,Konzerte; experimentelle Musik; freie Kunstszene,"Frühe Nachwende‑Off‑Location in der Friedrichstraße; improvisierte Konzerte, experimentelle Performances und freie Kunstszene."
